scenario,replicate,family,empty_intersections,evaluations
moderate,0,operational,0,532480
moderate,0,retained_certificates,0,532480
moderate,1,operational,0,532480
moderate,1,retained_certificates,0,532480
moderate,2,operational,0,532480
moderate,2,retained_certificates,0,532480
moderate,3,operational,0,532480
moderate,3,retained_certificates,0,532480
moderate,4,operational,0,532480
moderate,4,retained_certificates,0,532480
moderate,5,operational,0,532480
moderate,5,retained_certificates,0,532480
moderate,6,operational,0,532480
moderate,6,retained_certificates,0,532480
moderate,7,operational,0,532480
moderate,7,retained_certificates,0,532480
moderate,8,operational,0,532480
moderate,8,retained_certificates,0,532480
moderate,9,operational,0,532480
moderate,9,retained_certificates,0,532480
moderate,10,operational,0,532480
moderate,10,retained_certificates,0,532480
moderate,11,operational,0,532480
moderate,11,retained_certificates,0,532480
severe,0,operational,0,532480
severe,0,retained_certificates,0,532480
severe,1,operational,0,532480
severe,1,retained_certificates,0,532480
severe,2,operational,0,532480
severe,2,retained_certificates,0,532480
severe,3,operational,0,532480
severe,3,retained_certificates,0,532480
severe,4,operational,0,532480
severe,4,retained_certificates,0,532480
severe,5,operational,0,532480
severe,5,retained_certificates,0,532480
severe,6,operational,0,532480
severe,6,retained_certificates,0,532480
severe,7,operational,0,532480
severe,7,retained_certificates,0,532480
severe,8,operational,0,532480
severe,8,retained_certificates,0,532480
severe,9,operational,0,532480
severe,9,retained_certificates,0,532480
severe,10,operational,0,532480
severe,10,retained_certificates,0,532480
severe,11,operational,0,532480
severe,11,retained_certificates,0,532480
